TARGET,ID,DerogCnt,CollectCnt,BanruptcyInd,InqCnt06,InqTimeLast,InqFinanceCnt24,TLTimeFirst,TLTimeLast,TLCnt03,TLCnt12,TLCnt24,TLCnt,TLSum,TLMaxSum,TLSatCnt,TLDel60Cnt,TLBadCnt24,TL75UtilCnt,TL50UtilCnt,TLBalHCPct,TLSatPct,TLDel3060Cnt24,TLDel90Cnt24,TLDel60CntAll,TLOpenPct,TLBadDerogCnt,TLDel60Cnt24,TLOpen24Pct
0,000066,1,1,0,7,1,4,125,3,1,3,5,7,14701,17312,10,0,0,3,4,0.8492,0.6667,0,0,1,0.5832999999999999,0,0,0.7142999999999999
0,000116,1,1,0,2,1,0,252,18,0,0,2,4,5471,11375,9,0,0,1,2,0.481,0.3,0,1,4,0.39999999999999997,2,1,0.5
0,000124,0,0,0,1,1,4,254,12,0,1,2,6,11522,13680,11,1,1,3,3,0.8422999999999999,0.6667,0,1,1,0.5,1,1,0.3333
0,000128,0,0,0,6,3,6,154,3,1,9,11,9,8404,11490,14,1,1,4,5,0.7313999999999999,0.7646999999999999,0,1,1,0.5294,1,1,1.2222
0,000143,0,0,0,1,0,1,311,17,0,0,1,5,24502,27715,7,0,0,2,3,0.8841,0.625,0,0,1,0.625,0,0,0.19999999999999998
0,000291,1,1,0,1,1,2,200,7,0,1,2,3,128,962,8,2,0,1,1,0.1331,0.25,1,1,3,0.25,1,1,0.6667
0,000355,2,0,0,3,1,2,137,12,0,1,2,5,28293,40231,12,0,0,2,2,0.7032999999999999,0.6428999999999999,0,0,0,0.3571,2,0,0.39999999999999997
0,000364,0,0,0,3,2,1,267,2,3,6,8,4,1818,3903,13,1,0,1,1,0.4658,0.4211,0,1,2,0.2105,1,1,2
0,000388,0,0,0,0,16,3,359,23,0,0,1,6,9474,22987,12,1,0,0,2,0.41209999999999997,0.6922999999999999,0,0,2,0.46149999999999997,0,0,0.1667
0,000436,1,1,0,1,6,3,141,8,0,1,4,9,27514,32657,17,0,0,7,7,0.8424999999999999,0.6667,0,0,0,0.5,1,0,0.44439999999999996
0,000478,0,0,0,1,4,1,487,12,0,1,6,13,20408,26570,22,0,0,9,10,0.7680999999999999,0.8181999999999999,0,0,0,0.5909,0,0,0.46149999999999997
0,000506,5,3,1,3,1,3,24,4,0,3,8,7,31317,33593,8,0,0,4,5,0.9321999999999999,1,0,0,0,0.875,3,0,1.1428999999999998
0,000547,0,0,0,4,1,4,78,4,0,7,10,6,20392,25869,20,0,0,1,2,0.7882999999999999,0.7391,0,0,0,0.26089999999999997,0,0,1.6666999999999998
1,000582,3,3,0,4,0,5,117,27,0,0,0,5,19410,21147,16,2,1,3,3,0.9178999999999999,0.20829999999999999,2,3,7,0.20829999999999999,4,4,0
0,000608,2,2,0,1,0,4,101,12,0,1,1,6,4206,4666,8,0,0,3,4,0.9014,0.22219999999999998,3,0,4,0.6667,1,2,0.1667
0,000611,1,1,0,2,1,8,260,16,0,0,2,3,7660,9627,18,1,1,2,3,0.7957,0.35,0,1,1,0.15,1,1,0.6667
0,000643,0,0,0,5,1,6,295,8,0,4,11,40,117110,251082,57,0,0,9,12,0.4664,0.7257999999999999,0,0,0,0.6452,0,0,0.27499999999999997
0,000645,0,0,0,0,,0,223,18,0,0,1,6,4449,4982,13,0,0,2,4,0.8929999999999999,0.5713999999999999,3,0,5,0.4286,0,2,0.1667
1,000662,15,9,0,3,1,3,14,14,0,0,1,1,16776,20971,1,0,0,1,1,0.7999999999999999,0,0,0,0,1,12,0,1
0,000714,0,0,0,3,2,7,345,2,2,2,4,6,45825,52987,17,0,0,3,3,0.8647999999999999,0.5237999999999999,0,0,0,0.28569999999999995,0,0,0.6667
0,000750,0,0,0,4,4,5,145,3,1,2,2,8,15396,26018,16,4,1,2,3,0.5916999999999999,0.40909999999999996,0,2,7,0.3636,2,2,0.25
0,000777,0,0,0,3,1,3,222,22,0,0,1,10,3127,12624,24,1,0,1,2,0.24769999999999998,0.6206999999999999,2,0,3,0.3448,0,1,0.09999999999999999
1,000805,0,0,0,1,5,1,354,7,0,2,10,19,16903,47593,21,1,1,4,5,0.35519999999999996,0.6537999999999999,0,1,1,0.7307999999999999,1,1,0.5263
0,000911,8,8,0,0,8,2,111,24,0,0,1,2,3402,8948,5,0,0,0,0,0.3802,0.39999999999999997,0,0,0,0.39999999999999997,4,0,0.5
