TARGET,DerogCnt,CollectCnt,BanruptcyInd,InqCnt06,InqTimeLast,InqFinanceCnt24,TLTimeFirst,TLTimeLast,TLCnt03,TLCnt12,TLCnt24,TLCnt,TLSum,TLMaxSum,TLSatCnt,TLDel60Cnt,TLBadCnt24,TL75UtilCnt,TL50UtilCnt,TLBalHCPct,TLSatPct,TLDel3060Cnt24,TLDel90Cnt24,TLDel60CntAll,TLOpenPct,TLBadDerogCnt,TLDel60Cnt24,TLOpen24Pct
0,1,1,0,7,1,4,125,3,1,3,5,7,14701,17312,10,0,0,3,4,0.8492,0.6667,0,0,1,0.5833,0,0,0.7143
0,1,1,0,2,1,0,252,18,0,0,2,4,5471,11375,9,0,0,1,2,0.481,0.3,0,1,4,0.4,2,1,0.5
0,0,0,0,1,1,4,254,12,0,1,2,6,11522,13680,11,1,1,3,3,0.8423,0.6667,0,1,1,0.5,1,1,0.3333
0,0,0,0,6,3,6,154,3,1,9,11,9,8404,11490,14,1,1,4,5,0.7314,0.7647,0,1,1,0.5294,1,1,1.2222
0,0,0,0,1,0,1,311,17,0,0,1,5,24502,27715,7,0,0,2,3,0.8841,0.625,0,0,1,0.625,0,0,0.2
0,1,1,0,1,1,2,200,7,0,1,2,3,128,962,8,2,0,1,1,0.1331,0.25,1,1,3,0.25,1,1,0.6667
0,2,0,0,3,1,2,137,12,0,1,2,5,28293,40231,12,0,0,2,2,0.7033,0.6429,0,0,0,0.3571,2,0,0.4
0,0,0,0,3,2,1,267,2,3,6,8,4,1818,3903,13,1,0,1,1,0.4658,0.4211,0,1,2,0.2105,1,1,2
0,0,0,0,0,16,3,359,23,0,0,1,6,9474,22987,12,1,0,0,2,0.4121,0.6923,0,0,2,0.4615,0,0,0.1667
0,1,1,0,1,6,3,141,8,0,1,4,9,27514,32657,17,0,0,7,7,0.8425,0.6667,0,0,0,0.5,1,0,0.4444
0,0,0,0,1,4,1,487,12,0,1,6,13,20408,26570,22,0,0,9,10,0.7681,0.8182,0,0,0,0.5909,0,0,0.4615
0,5,3,1,3,1,3,24,4,0,3,8,7,31317,33593,8,0,0,4,5,0.9322,1,0,0,0,0.875,3,0,1.1429
0,0,0,0,4,1,4,78,4,0,7,10,6,20392,25869,20,0,0,1,2,0.7883,0.7391,0,0,0,0.2609,0,0,1.6667
1,3,3,0,4,0,5,117,27,0,0,0,5,19410,21147,16,2,1,3,3,0.9179,0.2083,2,3,7,0.2083,4,4,0
0,2,2,0,1,0,4,101,12,0,1,1,6,4206,4666,8,0,0,3,4,0.9014,0.2222,3,0,4,0.6667,1,2,0.1667
0,1,1,0,2,1,8,260,16,0,0,2,3,7660,9627,18,1,1,2,3,0.7957,0.35,0,1,1,0.15,1,1,0.6667
0,0,0,0,5,1,6,295,8,0,4,11,40,117110,251082,57,0,0,9,12,0.4664,0.7258,0,0,0,0.6452,0,0,0.275
0,0,0,0,0,9999,0,223,18,0,0,1,6,4449,4982,13,0,0,2,4,0.893,0.5714,3,0,5,0.4286,0,2,0.1667
1,15,9,0,3,1,3,14,14,0,0,1,1,16776,20971,1,0,0,1,1,0.8,0,0,0,0,1,12,0,1
0,0,0,0,3,2,7,345,2,2,2,4,6,45825,52987,17,0,0,3,3,0.8648,0.5238,0,0,0,0.2857,0,0,0.6667
0,0,0,0,4,4,5,145,3,1,2,2,8,15396,26018,16,4,1,2,3,0.5917,0.4091,0,2,7,0.3636,2,2,0.25
0,0,0,0,3,1,3,222,22,0,0,1,10,3127,12624,24,1,0,1,2,0.2477,0.6207,2,0,3,0.3448,0,1,0.1
1,0,0,0,1,5,1,354,7,0,2,10,19,16903,47593,21,1,1,4,5,0.3552,0.6538,0,1,1,0.7308,1,1,0.5263
0,8,8,0,0,8,2,111,24,0,0,1,2,3402,8948,5,0,0,0,0,0.3802,0.4,0,0,0,0.4,4,0,0.5
0,6,4,1,3,2,0,175,4,0,1,1,3,2577,2602,13,2,2,3,3,0.9904,0.375,0,3,6,0.1875,6,3,0.3333
0,0,0,0,1,1,3,56,40,0,0,0,3,716,2532,5,0,0,0,0,0.2828,0.2,3,1,4,0.6,1,3,0
1,8,5,0,6,1,10,16,4,0,2,4,3,18339,20093,1,1,0,2,3,0.9127,0.25,1,1,1,0.75,7,1,1.3333
0,0,0,0,0,11,0,398,10,0,2,2,10,18103,22163,18,0,0,6,6,0.8168,0.25,3,0,2,0.5,0,2,0.2
0,1,0,1,6,0,6,134,6,0,2,2,4,17577,19442,8,8,2,3,3,0.9041,0.2632,0,2,8,0.2105,2,2,0.5
1,3,1,0,9,0,8,130,52,0,0,0,1,2327,1860,3,4,1,1,1,1.2511,0,0,1,4,0.1429,3,1,0
0,5,3,1,2,2,2,90,5,0,3,5,4,8102,9450,11,0,0,3,3,0.8574,0.5294,3,0,0,0.2353,0,0,1.25
0,0,0,0,5,1,5,185,10,0,1,1,14,43929,65197,29,0,0,5,6,0.6738,0.6897,2,0,1,0.4828,0,1,0.0714
0,0,0,0,3,1,0,168,2,1,1,2,8,24269,43783,16,0,0,1,5,0.5543,0.5,0,0,0,0.4444,0,0,0.25
0,0,0,0,3,1,0,284,2,1,3,5,6,16173,32884,18,1,0,3,3,0.4918,0.3333,0,1,1,0.25,1,1,0.8333
1,1,1,1,2,2,0,124,3,1,4,5,5,5961,5800,5,2,0,4,4,1.0278,0.5,0,0,2,0.625,0,0,1
0,5,3,0,4,4,2,90,3,1,4,4,5,38892,40752,8,0,0,5,5,0.9544,0.5556,0,0,0,0.5556,1,0,0.8
1,0,0,0,1,3,1,148,10,0,2,6,14,55642,77854,24,0,0,7,9,0.7147,0.5926,3,0,0,0.5185,0,0,0.4286
0,0,0,0,0,8,0,32,32,0,0,0,2,2600,2600,1,1,1,1,1,1,0.5,0,1,1,1,1,1,0
0,7,0,1,0,7,1,317,6,0,1,3,8,21476,27826,15,4,1,3,4,0.7718,0.55,0,1,4,0.4,3,1,0.375
0,0,0,0,0,9999,0,218,27,0,0,0,3,4109,6000,9,0,0,1,1,0.6848,0.7778,0,0,0,0.3333,0,0,0
0,0,0,0,2,1,1,133,19,0,0,2,4,40549,48039,10,0,0,3,3,0.8441,0.5,0,0,0,0.4,0,0,0.5
0,2,0,0,5,1,0,128,15,0,0,1,2,6014,9552,12,0,0,1,2,0.6296,0.0833,2,1,3,0.1667,3,2,0.5
0,0,0,0,5,1,3,204,18,0,0,5,15,78544,117116,21,0,0,7,9,0.6707,0.5,3,0,1,0.6818,0,0,0.3333
0,3,2,0,5,1,6,135,3,1,2,4,4,5756,9199,8,0,0,1,1,0.6257,0.6,0,0,1,0.4,0,0,1
1,3,2,0,5,1,3,124,2,1,4,6,7,14577,21638,12,0,0,4,4,0.6737,0.5333,2,0,2,0.4667,1,1,0.8571
0,0,0,0,6,1,8,62,6,0,2,2,8,9065,13979,13,0,0,2,2,0.6485,0.7692,0,0,0,0.6154,0,0,0.25
0,3,2,0,21,0,24,181,3,1,2,5,8,7623,14864,17,0,0,2,3,0.5128,0.5,2,0,1,0.4,2,1,0.625
0,0,0,0,3,5,1,84,2,1,3,5,12,23624,45792,19,0,0,4,5,0.5159,0.75,0,0,0,0.6,0,0,0.4167
0,1,0,1,0,10,0,239,8,0,3,4,6,56740,62203,16,2,1,3,3,0.9122,0.4762,0,1,3,0.2857,1,1,0.6667
0,3,0,0,5,1,7,116,14,0,0,1,4,187,1113,9,3,3,0,0,0.168,0.5,0,3,7,0.3333,3,3,0.25
0,0,0,0,0,15,0,138,27,0,0,0,8,15,7770,16,3,1,0,0,0.0019,0.2727,3,5,8,0.3636,5,8,0
