ID,TLTimeFirst,TLCnt03,TLSatCnt,TLDel60Cnt,TL75UtilCnt,TLBalHCPct,TLSatPct,TLDel3060Cnt24,TLOpen24Pct
66,125,1,10.0,0,3.0,0.8492,0.6667,0,0.7142999999999999
116,252,0,9.0,0,1.0,0.48100000000000004,0.3,0,0.5
124,254,0,11.0,1,3.0,0.8422999999999999,0.6667,0,0.3333
128,154,1,14.0,1,4.0,0.7313999999999999,0.7646999999999999,0,1.2222
143,311,0,7.0,0,2.0,0.8841,0.625,0,0.2
291,200,0,8.0,2,1.0,0.1331,0.25,1,0.6667
355,137,0,12.0,0,2.0,0.7032999999999999,0.6428999999999999,0,0.4
364,267,3,13.0,1,1.0,0.4658,0.4211,0,2.0
388,359,0,12.0,1,0.0,0.4121,0.6922999999999999,0,0.1667
436,141,0,17.0,0,7.0,0.8424999999999999,0.6667,0,0.4444
478,487,0,22.0,0,9.0,0.7680999999999999,0.8181999999999999,0,0.4615
506,24,0,8.0,0,4.0,0.9322,1.0,0,1.1428999999999998
547,78,0,20.0,0,1.0,0.7882999999999999,0.7391,0,1.6666999999999998
582,117,0,16.0,2,3.0,0.9179,0.2083,2,0.0
608,101,0,8.0,0,3.0,0.9014,0.2222,3,0.1667
611,260,0,18.0,1,2.0,0.7957,0.35,0,0.6667
643,295,0,57.0,0,9.0,0.4664,0.7257999999999999,0,0.275
645,223,0,13.0,0,2.0,0.8929999999999999,0.5713999999999999,3,0.1667
662,14,0,1.0,0,1.0,0.7999999999999999,0.0,0,1.0
714,345,2,17.0,0,3.0,0.8647999999999999,0.5237999999999999,0,0.6667
750,145,1,16.0,4,2.0,0.5916999999999999,0.4091,0,0.25
777,222,0,24.0,1,1.0,0.2477,0.6206999999999999,2,0.1
805,354,0,21.0,1,4.0,0.3552,0.6537999999999999,0,0.5263
911,111,0,5.0,0,0.0,0.3802,0.4,0,0.5
1039,175,0,13.0,2,3.0,0.9904,0.375,0,0.3333
1078,56,0,5.0,0,0.0,0.2828,0.2,3,0.0
1175,16,0,1.0,1,2.0,0.9127,0.25,1,1.3333
1181,398,0,18.0,0,6.0,0.8168,0.25,3,0.2
1258,134,0,8.0,8,3.0,0.9041,0.2632,0,0.5
1373,130,0,3.0,4,1.0,1.2511,0.0,0,0.0
1402,90,0,11.0,0,3.0,0.8573999999999999,0.5294,3,1.25
1419,185,0,29.0,0,5.0,0.6738,0.6897,2,0.07139999999999999
1437,168,1,16.0,0,1.0,0.5542999999999999,0.5,0,0.25
1482,284,1,18.0,1,3.0,0.4918,0.3333,0,0.8332999999999999
1483,124,1,5.0,2,4.0,1.0277999999999998,0.5,0,1.0
1498,90,1,8.0,0,5.0,0.9544,0.5556,0,0.7999999999999999
1514,148,0,24.0,0,7.0,0.7146999999999999,0.5925999999999999,3,0.4286
1547,32,0,1.0,1,1.0,1.0,0.5,0,0.0
1548,317,0,15.0,4,3.0,0.7717999999999999,0.5499999999999999,0,0.375
1549,218,0,9.0,0,1.0,0.6848,0.7777999999999999,0,0.0
1559,133,0,10.0,0,3.0,0.8441,0.5,0,0.5
1827,128,0,12.0,0,1.0,0.6295999999999999,0.0833,2,0.5
1864,204,0,21.0,0,7.0,0.6707,0.5,3,0.3333
1890,135,1,8.0,0,1.0,0.6256999999999999,0.6,0,1.0
1911,124,1,12.0,0,4.0,0.6737,0.5333,2,0.8571
1927,62,0,13.0,0,2.0,0.6485,0.7692,0,0.25
1954,181,1,17.0,0,2.0,0.5127999999999999,0.5,2,0.625
2033,84,1,19.0,0,4.0,0.5158999999999999,0.75,0,0.4167
2039,239,0,16.0,2,3.0,0.9122,0.4762,0,0.6667
2078,116,0,9.0,3,0.0,0.16799999999999998,0.5,0,0.25
2102,138,0,16.0,3,0.0,0.0019,0.2727,3,0.0
2137,83,1,3.0,1,1.0,0.7849999999999999,0.3333,0,1.0
2147,51,0,15.0,0,6.0,0.5168999999999999,0.875,0,0.1818
2156,314,0,7.0,1,0.0,0.4434,0.3,2,1.0
2176,20,0,2.0,0,2.0,0.863,0.6667,0,1.5
2201,82,0,3.0,1,1.0,1.0,0.5,0,0.3333
2304,414,0,22.0,0,7.0,0.4689,0.6521999999999999,2,0.1538
2405,375,0,12.0,0,8.0,0.9332,0.8462,0,0.6364
2456,330,0,42.0,0,7.0,0.6013,0.5625,2,0.1905
2485,129,0,22.0,0,4.0,0.7462,0.8261,0,0.6364
2491,13,0,1.0,0,1.0,0.9881,1.0,0,1.0
2534,103,0,8.0,0,4.0,0.8216,0.875,0,1.0
2539,380,0,6.0,9,0.0,0.7367999999999999,0.13329999999999995,0,0.0
2596,286,0,5.0,6,3.0,0.8000999999999999,0.1538,1,1.0
2615,290,1,5.0,0,1.0,0.2071,0.6667,0,0.4
2647,201,0,16.0,0,5.0,0.8922,0.6875,0,0.8571
2678,188,0,19.0,1,6.0,0.6459999999999999,0.625,0,0.2143
2687,100,0,9.0,0,2.0,0.8422,0.6,0,0.7999999999999999
2755,187,0,14.0,13,5.0,0.5145,0.3571,0,0.1
2767,175,0,17.0,1,4.0,0.5968,0.6111,1,0.0
2782,98,0,13.0,1,3.0,0.5931,0.6428999999999999,0,0.28569999999999995
2799,85,1,3.0,3,1.0,0.5327,0.125,0,0.3333
2828,169,1,14.0,0,0.0,0.3144,0.5,3,0.2
2831,28,2,10.0,0,5.0,0.9232,0.9091,0,1.1428999999999998
2875,177,0,19.0,1,4.0,0.743,0.381,3,0.7777999999999999
2884,129,0,1.0,2,3.0,0.8878999999999999,0.0,0,0.6667
2885,205,0,21.0,0,7.0,0.8168,0.6818,0,0.2308
2940,168,0,9.0,16,3.0,0.5542999999999999,0.14809999999999998,3,0.6667
2986,148,0,18.0,1,3.0,0.7505,0.4545,2,0.4286
3053,201,0,15.0,0,2.0,0.5166,0.625,0,0.28569999999999995
3060,129,0,23.0,0,4.0,0.5741999999999999,0.48,3,0.2143
3097,95,1,15.0,1,5.0,0.6452,0.6086999999999999,0,0.3846
3132,59,0,4.0,2,2.0,0.986,0.5,0,1.0
3140,129,0,21.0,2,9.0,0.9053,0.625,0,0.5385
3190,96,1,3.0,2,1.0,1.1079,0.4,0,1.0
3246,113,1,26.0,0,3.0,0.6523,0.5861999999999999,0,0.6875
3373,250,0,3.0,2,1.0,0.025,0.4,0,0.0
3390,117,0,17.0,1,1.0,0.9365,0.3,1,1.25
3438,52,1,8.0,0,6.0,0.9268,0.8888999999999999,0,0.6667
3612,81,2,18.0,0,5.0,0.9935,0.6499999999999999,0,1.3333
3637,304,0,19.0,0,4.0,0.6877,0.5499999999999999,0,0.4444
3638,283,2,26.0,0,1.0,0.3884,0.6551999999999999,3,0.5
3700,27,0,1.0,1,0.0,0.7146999999999999,0.0,2,0.0
3766,91,0,20.0,0,4.0,0.8909999999999999,0.5713999999999999,0,1.75
3813,232,0,6.0,0,1.0,0.402,0.7142999999999999,0,0.4286
3881,121,0,8.0,0,2.0,0.4268,0.4,0,0.2
3891,129,0,6.0,7,2.0,0.9912,0.0769,0,0.0
3944,334,0,8.0,4,3.0,0.8089,0.2,3,0.7999999999999999
3961,339,2,20.0,2,2.0,0.8023999999999999,0.375,0,1.0
4032,248,0,28.0,0,7.0,0.6801999999999999,0.6333,2,0.5
4049,44,1,19.0,0,5.0,0.5348999999999999,0.7826,0,0.8824
4071,210,0,11.0,0,2.0,0.5671999999999999,0.75,0,0.0
4114,98,0,9.0,1,3.0,0.4051,0.6364,2,0.1667
4207,22,1,2.0,1,1.0,0.5981,0.5,0,1.0
4227,51,0,9.0,0,1.0,0.5759,0.7,0,0.75
4284,115,2,24.0,0,4.0,0.8841,0.5861999999999999,2,1.375
