TARGET,DerogCnt,CollectCnt,BanruptcyInd,InqCnt06,InqTimeLast,InqFinanceCnt24,TLTimeFirst,TLTimeLast,TLCnt03,TLCnt12,TLCnt24,TLCnt,TLSum,TLMaxSum,TLSatCnt,TLDel60Cnt,TLBadCnt24,TL75UtilCnt,TL50UtilCnt,TLBalHCPct,TLSatPct,TLDel3060Cnt24,TLDel90Cnt24,TLDel60CntAll,TLOpenPct,TLBadDerogCnt,TLDel60Cnt24,TLOpen24Pct
0,1,1,0,7,1.0,4,125,3,1,3,5,7.0,14701.0,17312.0,10.0,0,0,3.0,4.0,0.8492,0.6667,0,0,1,0.5832999999999999,0,0,0.7142999999999999
0,1,1,0,2,1.0,0,252,18,0,0,2,4.0,5471.0,11375.0,9.0,0,0,1.0,2.0,0.48100000000000004,0.3,0,1,4,0.4,2,1,0.5
0,0,0,0,1,1.0,4,254,12,0,1,2,6.0,11522.0,13680.0,11.0,1,1,3.0,3.0,0.8422999999999999,0.6667,0,1,1,0.5,1,1,0.3333
0,0,0,0,6,3.0,6,154,3,1,9,11,9.0,8404.0,11490.0,14.0,1,1,4.0,5.0,0.7313999999999999,0.7646999999999999,0,1,1,0.5294,1,1,1.2222
0,0,0,0,1,0.0,1,311,17,0,0,1,5.0,24502.0,27715.0,7.0,0,0,2.0,3.0,0.8841,0.625,0,0,1,0.625,0,0,0.2
0,1,1,0,1,1.0,2,200,7,0,1,2,3.0,128.0,962.0,8.0,2,0,1.0,1.0,0.1331,0.25,1,1,3,0.25,1,1,0.6667
0,2,0,0,3,1.0,2,137,12,0,1,2,5.0,28293.0,40231.0,12.0,0,0,2.0,2.0,0.7032999999999999,0.6428999999999999,0,0,0,0.3571,2,0,0.4
0,0,0,0,3,2.0,1,267,2,3,6,8,4.0,1818.0,3903.0,13.0,1,0,1.0,1.0,0.4658,0.4211,0,1,2,0.2105,1,1,2.0
0,0,0,0,0,16.0,3,359,23,0,0,1,6.0,9474.0,22987.0,12.0,1,0,0.0,2.0,0.4121,0.6922999999999999,0,0,2,0.4615,0,0,0.1667
0,1,1,0,1,6.0,3,141,8,0,1,4,9.0,27514.0,32657.0,17.0,0,0,7.0,7.0,0.8424999999999999,0.6667,0,0,0,0.5,1,0,0.4444
0,0,0,0,1,4.0,1,487,12,0,1,6,13.0,20408.0,26570.0,22.0,0,0,9.0,10.0,0.7680999999999999,0.8181999999999999,0,0,0,0.5909,0,0,0.4615
0,5,3,1,3,1.0,3,24,4,0,3,8,7.0,31317.0,33593.0,8.0,0,0,4.0,5.0,0.9322,1.0,0,0,0,0.875,3,0,1.1428999999999998
0,0,0,0,4,1.0,4,78,4,0,7,10,6.0,20392.0,25869.0,20.0,0,0,1.0,2.0,0.7882999999999999,0.7391,0,0,0,0.2609,0,0,1.6666999999999998
1,3,3,0,4,0.0,5,117,27,0,0,0,5.0,19410.0,21147.0,16.0,2,1,3.0,3.0,0.9179,0.2083,2,3,7,0.2083,4,4,0.0
0,2,2,0,1,0.0,4,101,12,0,1,1,6.0,4206.0,4666.0,8.0,0,0,3.0,4.0,0.9014,0.2222,3,0,4,0.6667,1,2,0.1667
0,1,1,0,2,1.0,8,260,16,0,0,2,3.0,7660.0,9627.0,18.0,1,1,2.0,3.0,0.7957,0.35,0,1,1,0.15,1,1,0.6667
0,0,0,0,5,1.0,6,295,8,0,4,11,40.0,117110.0,251082.0,57.0,0,0,9.0,12.0,0.4664,0.7257999999999999,0,0,0,0.6452,0,0,0.275
0,0,0,0,0,9999.0,0,223,18,0,0,1,6.0,4449.0,4982.0,13.0,0,0,2.0,4.0,0.8929999999999999,0.5713999999999999,3,0,5,0.4286,0,2,0.1667
1,15,9,0,3,1.0,3,14,14,0,0,1,1.0,16776.0,20971.0,1.0,0,0,1.0,1.0,0.7999999999999999,0.0,0,0,0,1.0,12,0,1.0
0,0,0,0,3,2.0,7,345,2,2,2,4,6.0,45825.0,52987.0,17.0,0,0,3.0,3.0,0.8647999999999999,0.5237999999999999,0,0,0,0.28569999999999995,0,0,0.6667
0,0,0,0,4,4.0,5,145,3,1,2,2,8.0,15396.0,26018.0,16.0,4,1,2.0,3.0,0.5916999999999999,0.4091,0,2,7,0.3636,2,2,0.25
0,0,0,0,3,1.0,3,222,22,0,0,1,10.0,3127.0,12624.0,24.0,1,0,1.0,2.0,0.2477,0.6206999999999999,2,0,3,0.3448,0,1,0.1
1,0,0,0,1,5.0,1,354,7,0,2,10,19.0,16903.0,47593.0,21.0,1,1,4.0,5.0,0.3552,0.6537999999999999,0,1,1,0.7307999999999999,1,1,0.5263
0,8,8,0,0,8.0,2,111,24,0,0,1,2.0,3402.0,8948.0,5.0,0,0,0.0,0.0,0.3802,0.4,0,0,0,0.4,4,0,0.5
0,6,4,1,3,2.0,0,175,4,0,1,1,3.0,2577.0,2602.0,13.0,2,2,3.0,3.0,0.9904,0.375,0,3,6,0.1875,6,3,0.3333
0,0,0,0,1,1.0,3,56,40,0,0,0,3.0,716.0,2532.0,5.0,0,0,0.0,0.0,0.2828,0.2,3,1,4,0.6,1,3,0.0
1,8,5,0,6,1.0,10,16,4,0,2,4,3.0,18339.0,20093.0,1.0,1,0,2.0,3.0,0.9127,0.25,1,1,1,0.75,7,1,1.3333
0,0,0,0,0,11.0,0,398,10,0,2,2,10.0,18103.0,22163.0,18.0,0,0,6.0,6.0,0.8168,0.25,3,0,2,0.5,0,2,0.2
0,1,0,1,6,0.0,6,134,6,0,2,2,4.0,17577.0,19442.0,8.0,8,2,3.0,3.0,0.9041,0.2632,0,2,8,0.2105,2,2,0.5
1,3,1,0,9,0.0,8,130,52,0,0,0,1.0,2327.0,1860.0,3.0,4,1,1.0,1.0,1.2511,0.0,0,1,4,0.1429,3,1,0.0
0,5,3,1,2,2.0,2,90,5,0,3,5,4.0,8102.0,9450.0,11.0,0,0,3.0,3.0,0.8573999999999999,0.5294,3,0,0,0.2353,0,0,1.25
0,0,0,0,5,1.0,5,185,10,0,1,1,14.0,43929.0,65197.0,29.0,0,0,5.0,6.0,0.6738,0.6897,2,0,1,0.4828,0,1,0.07139999999999999
0,0,0,0,3,1.0,0,168,2,1,1,2,8.0,24269.0,43783.0,16.0,0,0,1.0,5.0,0.5542999999999999,0.5,0,0,0,0.4444,0,0,0.25
0,0,0,0,3,1.0,0,284,2,1,3,5,6.0,16173.0,32884.0,18.0,1,0,3.0,3.0,0.4918,0.3333,0,1,1,0.25,1,1,0.8332999999999999
1,1,1,1,2,2.0,0,124,3,1,4,5,5.0,5961.0,5800.0,5.0,2,0,4.0,4.0,1.0277999999999998,0.5,0,0,2,0.625,0,0,1.0
0,5,3,0,4,4.0,2,90,3,1,4,4,5.0,38892.0,40752.0,8.0,0,0,5.0,5.0,0.9544,0.5556,0,0,0,0.5556,1,0,0.7999999999999999
1,0,0,0,1,3.0,1,148,10,0,2,6,14.0,55642.0,77854.0,24.0,0,0,7.0,9.0,0.7146999999999999,0.5925999999999999,3,0,0,0.5185,0,0,0.4286
0,0,0,0,0,8.0,0,32,32,0,0,0,2.0,2600.0,2600.0,1.0,1,1,1.0,1.0,1.0,0.5,0,1,1,1.0,1,1,0.0
0,7,0,1,0,7.0,1,317,6,0,1,3,8.0,21476.0,27826.0,15.0,4,1,3.0,4.0,0.7717999999999999,0.5499999999999999,0,1,4,0.4,3,1,0.375
0,0,0,0,0,9999.0,0,218,27,0,0,0,3.0,4109.0,6000.0,9.0,0,0,1.0,1.0,0.6848,0.7777999999999999,0,0,0,0.3333,0,0,0.0
0,0,0,0,2,1.0,1,133,19,0,0,2,4.0,40549.0,48039.0,10.0,0,0,3.0,3.0,0.8441,0.5,0,0,0,0.4,0,0,0.5
0,2,0,0,5,1.0,0,128,15,0,0,1,2.0,6014.0,9552.0,12.0,0,0,1.0,2.0,0.6295999999999999,0.0833,2,1,3,0.1667,3,2,0.5
0,0,0,0,5,1.0,3,204,18,0,0,5,15.0,78544.0,117116.0,21.0,0,0,7.0,9.0,0.6707,0.5,3,0,1,0.6818,0,0,0.3333
0,3,2,0,5,1.0,6,135,3,1,2,4,4.0,5756.0,9199.0,8.0,0,0,1.0,1.0,0.6256999999999999,0.6,0,0,1,0.4,0,0,1.0
1,3,2,0,5,1.0,3,124,2,1,4,6,7.0,14577.0,21638.0,12.0,0,0,4.0,4.0,0.6737,0.5333,2,0,2,0.4667,1,1,0.8571
0,0,0,0,6,1.0,8,62,6,0,2,2,8.0,9065.0,13979.0,13.0,0,0,2.0,2.0,0.6485,0.7692,0,0,0,0.6154,0,0,0.25
0,3,2,0,21,0.0,24,181,3,1,2,5,8.0,7623.0,14864.0,17.0,0,0,2.0,3.0,0.5127999999999999,0.5,2,0,1,0.4,2,1,0.625
